title,authors,groups,keywords,topics,abstract
Generating Content for Scenario-Based Serious-Games using CrowdSourcing,"Sigal Sina, Avi Rosenfeld and Sarit Kraus",Game Playing and Interactive Entertainment (GPIE),"Scenario-Based Serious-Games
Generated Content
Crowd-Sourcing",GPIE: Procedural Content Generation,"Scenario-based serious-games have become a main tool for
learning new skills and capabilities. An important factor in
the development of such systems is reducing the time and cost
overhead in manually creating content for these scenarios. To do so, we present ScenarioGen, an automatic method for generating content about everyday activities through combining computer science techniques with the crowd. ScenarioGen uses the crowd in three different ways: to capture a database of scenarios of everyday activities, to generate a database of likely replacements for specific events within that scenario, and to evaluate the resulting scenarios. We evaluated ScenarioGen in 6 different content domains and found that it was consistently rated as coherent and consistent as the originally captured content. We also compared ScenarioGen’s content to that created by traditional planning techniques. We found that both methods were equally effective in generated coherent and consistent scenarios, yet ScenarioGen’s content was found to be more varied and easier to create."
A Tractable Approach to ABox Abduction over Description Logic Ontologies,"Jianfeng Du, Kewen Wang and Yi-Dong Shen",Knowledge Representation and Reasoning (KRR),"ABox abduction
abductive reasoning
query abduction problem
description logics
first-order rewritable","KRR: Description Logics
KRR: Diagnosis and Abductive Reasoning","ABox abduction is an important reasoning mechanism for description logic ontologies. It computes all minimal explanations (sets of ABox assertions) whose appending to a consistent ontology enforces the entailment of an observation while keeps the ontology consistent. We focus on practical computation for a general problem of ABox abduction, called the query abduction problem, where an observation is a Boolean conjunctive query and the explanations may contain fresh individuals neither in the ontology nor in the observation. However, in this problem there can be infinitely many minimal explanations. Hence we first identify a class of TBoxes called first-order rewritable TBoxes. It guarantees the existence of finitely many minimal explanations and is sufficient for many ontology applications. To reduce the number of explanations that need to be computed, we introduce a special kind of minimal explanations called representative explanations from which all minimal explanations can be retrieved. We develop a tractable method (in data complexity) for computing all representative explanations in a consistent ontology whose TBox is first-order rewritable. Experimental results demonstrate that the method is efficient and scalable for ontologies with large ABoxes."
User Group Oriented Dynamics Exploration,"Zhiting Hu, Junjie Yao and Bin Cui","AI and the Web (AIW)
Machine Learning Applications (MLA)
NLP and Knowledge Representation (NLPKR)","Social media
temporal dynamics
topic modeling
user group","AIW: Human language technologies for web systems, including text summarization and machine translation
AIW: Languages, tools, and methodologies for representing, managing, and visualizing semantic web data
AIW: Machine learning and the web
AIW: Web-based opinion extraction and trend spotting
MLA: Networks
NLPKR: Semantics and Summarization
NLPKR: Natural Language Processing (General/Other)","Dynamic online content becomes the zeitgeist. Vibrant user groups are essential participants and promoters behind it. Studying temporal dynamics is a valuable means to uncover group characters. Since different user groups usually tend to have highly diverse interest and show distinct behavior patterns, they will exhibit varying temporal dynamics. However, most current work only use global trends of temporal topics and fail to distinguish such fine-grained patterns across groups.  

In this paper, we propose GrosToT (Group Specific Topics-over-Time), a unified probabilistic model which infers latent user groups and temporal topics. It can model group-specific temporal topic variation from social media stream. By leveraging the comprehensive group-specific temporal patterns, GrosToT significantly outperforms state-of-the-art dynamics modeling methods. Our proposed approach shows advantage not only in temporal dynamics modeling but also group content exploration. Based on GrosToT, we uncover the interplay between group interest and temporal dynamics. Specifically, we find that group's attention to their medium-interested topics are event-driven, showing rich bursts; while its engagement in group's dominating topics are interest-driven, remaining stable over time. The dynamics over different groups vary and reflect the groups' intention."
Automatic Construction and Natural-Language Description of Nonparametric Regression Models,"James Lloyd, David Duvenaud, Roger Grosse, Josh Tenenbaum and Zoubin Ghahramani","Machine Learning Applications (MLA)
Novel Machine Learning Algorithms (NMLA)","Automatic statistician
gaussian processes
regression
bayesian
summarization
model description","MLA: Applications of Supervised Learning
NMLA: Bayesian Learning
NMLA: Kernel Methods
NMLA: Time-Series/Data Streams","This paper presents the beginnings of an automatic statistician, focusing on regression problems.  Our system explores an open-ended space of possible statistical models to discover a good explanation of the data, and then produces a detailed report with figures and natural-language text.

Our approach treats unknown functions nonparametrically using Gaussian processes, which has two important consequences. First, Gaussian processes model functions in terms of high-level properties (e.g. smoothness, trends, periodicity, changepoints).
Taken together with the compositional structure of our language of models, this allows us to automatically describe functions through a decomposition into additive parts.  Second, the use of flexible nonparametric models and a rich language for composing them in an open-ended manner also results in state-of-the-art extrapolation performance evaluated over 13 real time series data sets from various domains."
Capturing Difficulty Expressions in Student Online Q&A Discussions,Jaebong Yoo and Jihie Kim,"AI and the Web (AIW)
Applications (APP)
NLP and Machine Learning (NLPML)
NLP and Text Mining (NLPTM)","Student online discussions
dialog analysis (emotional or information roles)
student performance prediction
computational linguistic features
educational data mining","AIW: Question answering on the web
APP: Computer-Aided Education
MLA: Machine Learning Applications (General/other)
NLPML: Discourse and Dialogue
NLPML: Text Classification","We introduce a new application of online dialogue analysis: supporting pedagogical assessment of online Q&A discussions. Extending the existing speech act framework, we capture common emotional expressions that often appear in student discussions, such as frustration and degree of certainty, and present a viable approach for the classification. We demonstrate how such dialogue information can be used in analyzing student discussions and identifying difficulties. In particular, the difficulty indicators are aligned to discussion patterns and student performance. We found that frustration occurs more frequently in longer discussions. The students who frequently express frustration tend to get lower grades than others. On the other hand, frequency of high certainty expressions is positively correlated with the performance. We believe emotional and informational dialogue roles are important factors in explaining discussion development and student performance. We expect such online dialogue analyses can become a powerful assessment tool for instructors and education researchers."
Lifting Relational MAP-LP Relaxations using Permutation Constraint Graphs,"Udi Apsel, Kristian Kersting and Martin Mladenov",Reasoning under Uncertainty (RU),"Lifted Probabilistic Inference
Statistical Relational Learning
MAP Estimation
Linear Programming
Sherali-Adams Hierarchy","RU: Probabilistic Inference
RU: Relational Probabilistic Models","Inference in large scale graphical models is an important task in many domains, and in particular probabilistic relational models (e.g. Markov logic networks). Such models often exhibit considerable symmetry, and it is a challenge to devise algorithms that exploit this symmetry to speed up inference. Recently, the automorphism group has been proposed to formalize mathematically what ""exploiting symmetry"" means. However, obtaining symmetry derived from automorphism is GI-hard, and consequently only a small fraction of the symmetry is easily available for effective employment. In this paper, we improve upon efficiency in two ways. First, we introduce the Permutation Constraint Graph (PCG), a platform on which greater portions of the symmetries can be revealed and exploited. PCGs classify clusters of variables by projecting relations between cluster members onto a graph, allowing for the efficient pruning of symmetrical clusters even before their generation. Second, we introduce a novel framework based on PCGs for the Sherali-Adams hierarchy of linear program (LP) relaxations, dedicated to exploiting this symmetry for the benefit of tight Maximum A Posteriori (MAP) approximations. Combined with the pruning power of PCG, the framework quickly generates compact formulations for otherwise intractable LPs as demonstrated by several empirical results."
Boosting SBDS for Partial Symmetry Breaking in Constraint Programming,Zichen Zhu and Jimmy Lee,Search and Constraint Satisfaction (SCS),"constraint satisfaction problems
symmetry breaking
SBDS","SCS: Constraint Satisfaction
SCS: SAT and CSP: Modeling/Formulations
SCS: Constraint Satisfaction (General/other)","The paper proposes a dynamic method, Recursive SBDS
(ReSBDS), for efficient partial symmetry breaking. We
first demonstrate how (partial) SBDS misses important
pruning opportunities when given only a subset of symmetries
to break. The investigation pinpoints the culprit
and in turn suggests rectification. The main idea is to
add extra conditional constraints during search recursively
to prune also symmetric nodes of some pruned
subtrees. Thus, ReSBDS can break extra symmetry
compositions, but is carefully designed to break only the
ones that are easy to identify and inexpensive to break.
We present theorems to guarantee the soundness and
termination of our approach, and compare our method
with popular static and dynamic methods. When the
variable (value) heuristic is static, ReSBDS is also complete
in eliminating all interchangeable variables (values)
given only the generator symmetries. Extensive
experimentations confirm the efficiency of ReSBDS,
when compared against state of the art methods."
Evolutionary dynamics of learning algorithms over the sequence form,"Fabio Panozzo, Nicola Gatti and Marcello Restelli","Game Theory and Economic Paradigms (GTEP)
Multiagent Systems (MAS)","Game Theory
Multiagent learning
Evolutionary game theory","GTEP: Adversarial Learning
GTEP: Equilibrium
MAS: Multiagent Learning","Multi-agent learning is a challenging open task in artificial intelligence. It is known an interesting connection between multi-agent learning algorithms and evolutionary game theory, showing that the learning dynamics of some algorithms can be modeled as replicator dynamics with a mutation term. Inspired by the recent sequence-form replicator dynamics, we develop a new version of the Q-learning algorithm working on the sequence form of an extensive-form game allowing thus an exponential reduction of the dynamics length w.r.t. those of the normal form. The dynamics of the proposed algorithm can be modeled by using the sequence-form replicator dynamics with a mutation term. We show that, although sequence-form and normal-form replicator dynamics are realization equivalent, the Q-learning algorithm applied to the two forms have non-realization equivalent dynamics. Originally from the previous works on evolutionary game theory models form multi-agent learning, we produce an experimental evaluation to show the accuracy of the model."
Structured Possibilistic Planning using Decision Diagrams,"Nicolas Drougard, Florent Teichteil-Königsbuch and Jean-Loup Farges","Knowledge Representation and Reasoning (KRR)
Planning and Scheduling (PS)
Reasoning under Uncertainty (RU)","Qualitative Planning under Uncertainty
Symbolic Planning with Decision Diagrams
Possibilistic (PO)MDPs
Mixed Observability","KRR: Qualitative Reasoning
KRR: Reasoning with Beliefs
PS: Markov Models of Environments
PS: Probabilistic Planning
PS: Planning (General/Other)
RU: Graphical Models (Other)
RU: Decision/Utility Theory
RU: Sequential Decision Making
RU: Uncertainty Representations
RU: Uncertainty in AI (General/Other)","Qualitative Possibilistic Mixed-Observable MDPs ($\pi$-MOMDPs), generalizing
$\pi$-MDPs and $\pi$-POMDPs, are well-suited models to planning under
uncertainty with mixed-observability when transition, observation and reward
functions are not precisely known. Functions defining the model as well as
intermediate calculations are valued in a finite possibilistic scale
$\mathcal{L}$, which induces a \emph{finite} belief state space under partial
observability contrary to its probabilistic counterpart. In this paper, we
propose the first study of factored $\pi$-MOMDP models in order to solve large
structured planning problems under \emph{imprecise} uncertainty, or considered
as qualitative approximations of probabilistic problems. Building upon the SPUDD
algorithm for solving factored (probabilistic) MDPs, we conceived a symbolic
algorithm named PPUDD for solving factored $\pi$-MOMDPs. Whereas SPUDD's
decision diagrams' leaves may be as large as the state space since their values
are real numbers aggregated through additions and multiplications, PPUDD's ones
always remain in the finite scale $\echL$ via $\min$ and $\max$ operations only.
Our experiments show that PPUDD's computation time is much lower than SPUDD,
Symbolic-HSVI and APPL for possibilistic and probabilistic versions of the same
benchmarks under either total or mixed observability, while providing
high-quality policies."
Labeling Complicated Objects: Multi-View Multi-Instance Multi-Label Learning,"Cam-Tu Nguyen, Xiaoliang Wang and Zhi-Hua Zhou",Machine Learning Applications (MLA),"multi-view learning.
multi-instance multi-label learning.
partial examples.","AIW: AI for multimedia and multimodal web applications
MLA: Applications of Supervised Learning
MLA: Machine Learning Applications (General/other)","Multi-Instance Multi-Label (MIML) is a learning framework where an example is associated with multiple labels and represented by a set of feature vectors (multiple instances). In the original formalization of MIML learning, instances come from a single source (single view). To leverage multiple information sources (multi-view), we develop a multi-view MIML framework based on hierarchical Bayesian Network, and present an effective learning algorithm based on variational inference. The model can naturally deal with the examples in which some views could be absent (partial examples). On multi-view datasets, it is shown that our method is better than other multi-view and single-view approaches particularly in the presence of partial examples. On single-view benchmarks, extensive evaluation shows that our approach is highly comparable or better than other MIML approaches on labeling examples and instances. Moreover, our method can effectively handle datasets with a large number of labels."
Reasoning on LTL on Finite Traces: Insensitivity to Infiniteness,"Giuseppe De Giacomo, Riccardo De Masellis and Marco Montali",Knowledge Representation and Reasoning (KRR),"Linear Temporal Logic
Finite Traces
Reasoning about Actions
Trajectory Constraints in Planning
Logic-Based Process and Service Modelling","AIW: AI for web services: semantic descriptions, planning, matching, and coordination
KRR: Action, Change, and Causality
PS: Temporal Planning","In this paper we study when an LTL formula on finite traces (LTLf formula) is insensitive to infiniteness, that is, it can be correctly handled as a formula on infinite traces under the assumption that at a certain point the infinite trace starts repeating an end event forever, trivializing all other propositions to false. This intuition has been put forward and (wrongly) assumed to hold in general in the literature. We define a necessary and sufficient condition to characterize whether an LTLf formula is insensitive to infiniteness, which can be automatically checked by any LTL reasoner. Then, we show that typical LTLf specification patterns used in process and service modeling in CS, as well as trajectory constraints in Planning and transition-based LTLf specifications of action domains in KR, are indeed very often insensitive to infiniteness. This may help to explain why the assumption of interpreting LTL on finite and on infinite traces has been (wrongly) blurred. Possibly because of this blurring, virtually all literature detours to Buechi automata for constructing the NFA that accepts the traces satisfying an LTLf formula. As a further contribution, we give a simple direct algorithm for computing such NFA."
A Game-theoretic Analysis of Catalog Optimization,"Joel Oren, Nina Narodytska and Craig Boutilier","Game Theory and Economic Paradigms (GTEP)
Knowledge Representation and Reasoning (KRR)","Competitive assortment optimization
Nash equilibrium
Price of Stability
Computational social choice","GTEP: Auctions and Market-Based Systems
GTEP: Game Theory
GTEP: Social Choice / Voting
GTEP: Equilibrium
GTEP: Imperfect Information
KRR: Preferences
KRR: Reasoning with Beliefs
MAS: E-Commerce","Vendors of all types face the problem of selecting a slate of product offerings---their assortment or catalog---that will maximize their profits.  The profitability of a catalog is determined by both customer preferences and the offerings of their competitors.

We develop a game-theoretic model for analyzing the vendor \emph{catalog optimization} problem in the face of competing vendors. We show that computing a best response is intractable in general, but can be solved by dynamic programming given certain informational or structural assumptions about consumer preferences.
We also analyze conditions under which pure Nash equilibria exist. We study the price of anarchy (and stability), where applicable."
Linear-Time Filtering Algorithms for the Disjunctive Constraint,Hamed Fahimi and Claude-Guy Quimper,"Knowledge Representation and Reasoning (KRR)
Planning and Scheduling (PS)","Constraint programming
Scheduling
Global constraints
Filtering algorithms
Disjunctive constraint","PS: Scheduling
SCS: Constraint Satisfaction
SCS: Global Constraints
SCS: Constraint Satisfaction (General/other)","We present three new filtering algorithms for the disjunctive constraint that all have a linear running time
complexity in the number of tasks. The first algorithm filters the tasks according to the rules of the time tabling. The second algorithm performs an overload check that could also be used for the cumulative constraint. The third algorithm enforces the rules of detectable precedences. The two last algorithms use a new data structure that we introduce and that we call the time line. This data structure provides many constant time operations that were previously implemented in logarithmic time by the Theta-tree data structure. Experiments show that these new algorithms are competitive even for a small number of tasks and outperforms existing algorithms as the number of tasks increases."
Low-Rank Tensor Completion with Discriminant Analysis for Action Classification,"Chengcheng Jia, Guoqiang Zhong and Yun Fu","Machine Learning Applications (MLA)
Vision (VIS)","low-rank
tensor
action recognition
discriminant analysis","MLA: Applications of Supervised Learning
VIS: Face and Gesture Recognition
VIS: Videos","Tensor completion is an important topic in the area of image processing and computer vision research, which is generally built on extraction of the intrinsic structure of tensor data. However, tensor completion techniques are rarely used for action classification, which heavily relies on the extracted features of high-dimensional tensors as well. In this paper, we proposed a method for video based action classification via low-rank tensor completion. Since there could be distortion and corruption in the tensor, we projected the tensor into the subspace, which contains the invariant structure of the tensor and be used as the input of the classifier. The key point is that we aim to calculate the optimal projection matrices, which have the low-rank structure and are used to obtain the subspace. In order to integrate the useful supervisory information of data, we adopt the discriminant analysis criterion to learn the projection matrices and the augmented Lagrange multiplier (ALM) algorithm to solve the multi-variate optimization problem. We explained the properties of the projection matrices, which indicate the different meanings in the row space, column space and frame space, respectively. Experiments demonstrate that our method has obtained better accuracy compared with some other state-of-the-art low-rank tensor methods on MSR Hand Gesture 3D database and MSR Action 3D database."
Programming by Example using Least General Generalizations,"Mohammad Raza, Sumit Gulwani and Natasa Milic-Frayling","Applications (APP)
Heuristic Search and Optimization (HSO)
Knowledge Representation and Reasoning (KRR)","Programming by example
Inductive inference
XML transformations
Program synthesis
Document editing interfaces","APP: Intelligent User Interfaces
APP: Other Applications
HSO: Search (General/Other)
KRR: Knowledge Representation Languages
KRR: Knowledge Representation (General/Other)","Programming-by-example (PBE) has recently seen important advances in the domain of text editing,  but existing technology is restricted to transformations on relatively small unstructured text strings. In this paper we address structural/formatting transformations in richly formatted documents, using an approach based on the idea of least general generalizations from inductive inference, which avoids the scalability issues faced by state-of-the-art PBE methods.  We describe a novel domain specific language (DSL) that can succinctly describe expressive transformations over XML structures (used for describing richly formatted content) and is equipped with a natural partial ordering between programs based on a subsumption relation. We then describe a synthesis algorithm that, given a set of input-output examples of XML structures, identifies a minimal DSL program that is consistent with the examples. We present experimental results over a benchmark of formatting tasks that we collected from online help forums, which show an average of 4.1 examples required for task completion in a few seconds."
Give a Hard Problem to a Diverse Team: Exploring Large Action Spaces,"Leandro Soriano Marcolino, Haifeng Xu, Albert Xin Jiang, Milind Tambe and Emma Bowring",Multiagent Systems (MAS),"Team formation
Coordination & Collaboration
Distributed AI",MAS: Coordination and Collaboration,"Recent work has shown that diverse teams can outperform a uniform team made of copies of the best agent. However, there are fundamental questions that were not asked before. When should we use diverse or uniform teams? How does the performance change as the action space or the teams get larger? Hence, we present a new model of diversity for teams, that is more general than previous models. We prove that the performance of a diverse team improves as the size of the action space gets larger. Concerning the size of the diverse team, we show that the performance converges exponentially fast to the optimal one as we increase the number of agents. We present synthetic experiments that allow us to gain further insights: even though a diverse team outperforms a uniform team when the size of the action space increases, the uniform team will eventually again play better than the diverse team for a large enough action space. We verify our predictions in a system of Go playing agents, where we show a diverse team that improves in performance as the board size increases, and eventually overcomes a uniform team."
A Simple Polynomial-Time Randomized Distributed Algorithm for Connected Row Convex Constraints,"Nguyen Duc Thien, T. K. Satish Kumar, William Yeoh and Sven Koenig","Multiagent Systems (MAS)
Search and Constraint Satisfaction (SCS)","Connected Row Convex Constraints
Distributed CSP
Randomized Algorithms","MAS: Distributed Problem Solving
SCS: Distributed CSP/Optimization","In this paper, we describe a simple randomized algorithm that runs in polynomial time and solves connected row convex (CRC) constraints in a distributed setting. CRC constraints generalize many known tractable classes of constraints like 2-SAT and implicational constraints. They can model problems in many domains including temporal reasoning and geometric reasoning; and generally speaking, play the role of ``Gaussians'' in the logical world. Our simple randomized algorithm for solving them in distributed settings, therefore, has a number of important applications. We support our claims through empirical results. We also generalize our algorithm to tractable classes of tree convex constraints."
SUIT: A Supervised User-Item based Topic model for Sentiment Analysis,"Fangtao Li, Sheng Wang, Shenghua Liu and Ming Zhang",NLP and Text Mining (NLPTM),"topic model
sentiment analysis
review rating","AIW: Web-based opinion extraction and trend spotting
NLPTM: Information Extraction","Topic models have been widely used for sentiment analysis. Previous studies shows that supervised topic model can better model the sentiment expressions. However most of existing topic methods only model the sentiment text information, but do not consider the user, who expressed the sentiment, and the item, which the sentiment is expressed on. Since different users may use different sentiment expressions for different items, we argue that it is better to incorporate the user and item information into the topic model for sentiment analysis. In this paper, we propose a novel Supervised User-Item based Topic model, called SUIT model, for sentiment analysis. It can simultaneously utilize the textual topic and latent user-item factors. Our proposed method uses the tensor outer product of text topic proportion vector, user latent factor and item latent factor to model the sentiment label generalization. Extensive experiments are conducted on two datasets: review dataset and microblog dataset. The results demonstrate the advantages of our model. It shows significant improvement compared with supervised topic models and collaborative filtering methods."
Automatic Game Design via Mechanic Generation,Alexander Zook and Mark Riedl,Game Playing and Interactive Entertainment (GPIE),"procedural content generation
game generation
game mechanics","GPIE: AI in Game Design
GPIE: Procedural Content Generation","Game designs often center on the game mechanics - rules governing the logical evolution of the game. We seek to develop an intelligent system that generates computer games. As first steps towards this goal we present a composable and cross-domain representation for game mechanics that draws from AI planning action representations. We use a constraint solver to generate mechanics subject to design requirements on the form of those mechanics - what they do in the game. A planner takes a set of generated mechanics and tests whether those mechanics meet playability requirements - controlling how mechanics function in a game to affect player behavior. We demonstrate our system by modeling and generating mechanics in a role-playing game, platformer game, and combined role-playing-platformer game."
Learning the Structure of Probabilistic Graphical Models with an Extended Cascading Indian Buffet Process,"Patrick Dallaire, Philippe Giguère and Brahim Chaib-Draa",Novel Machine Learning Algorithms (NMLA),"Structure learning
Bayesian Learning
Bayesian nonparametrics
Graphical models
Deep belief networks
Infinite directed acyclic graphs
MCMC inference","NMLA: Bayesian Learning
NMLA: Data Mining and Knowledge Discovery
NMLA: Graphical Model Learning
RU: Bayesian Networks
RU: Graphical Models (Other)","In this paper, we present an extension of the cascading Indian buffet process (CIBP) intended to learning arbitrary directed acyclic graph structures as opposed to the CIBP, which is limited to purely layered structures. The extended cascading Indian buffet process (eCIBP) essentially consists in adding an extra sampling step to the CIBP to generate connections between non-consecutive layers. In the context of graphical model structure learning, the proposed approach allows learning structures having an unbounded number of hidden random variables and automatically selecting the model complexity. We evaluated the extended process on multivariate density estimation and structure identification tasks by measuring the structure complexity and predictive performance. The results suggest the extension leads to extracting simpler graphs without scarifying predictive precision."
Learning Compositional Sparse Models of Bimodal Percepts,"Suren Kumar, Vikas Dhiman and Jason J. Corso","Cognitive Systems (CS)
Novel Machine Learning Algorithms (NMLA)
Vision (VIS)","compositional model
bimodal sparse representation
vision and audio","CS: Structural learning and knowledge capture
NMLA: Dimension Reduction/Feature Selection
VIS: Language and Vision","Various perceptual domains have underlying compositional semantics that are rarely captured in current models.  We suspect this is because directly learning the compositional structure has evaded these models.  Yet, the compositional structure of a given domain can be grounded in a separate domain thereby simplifying its learning.  To that end, we propose a new approach to modeling bimodal percepts that explicitly relates distinct projections across each modality and then jointly learns a bimodal sparse representation.  The resulting model enables compositionality across these distinct projections and hence can generalize to unobserved percepts spanned by this compositional basis.  For example, our model can be trained on ""red triangles"" and ""blue squares""; yet, implicitly will also have learned ""red squares"" and ""blue triangles"".  The structure of the projections and hence the compositional basis is learned automatically for a given language model.  To test our model, we have acquired a new bimodal dataset comprising images and spoken utterances of colored shapes in a tabletop setup.  Our experiments demonstrate the benefits of explicitly leveraging compositionality in both quantitative and human evaluation studies."
Dramatis: A Computational Model of Suspense,Brian O'Neill and Mark Riedl,"Applications (APP)
Game Playing and Interactive Entertainment (GPIE)","computational creativity
psychological models
computational aesthetics","APP: Art and Music
GPIE: AI Storytelling
GPIE: Computational Creativity and Generative Art","We introduce Dramatis, a computational model of suspense based on a reformulation of a psychological definition of the suspense phenomenon. In this reformulation, suspense is correlated with the audience’s ability to generate a plan for the protagonist to avoid an impending negative outcome. Dramatis measures the suspense level by generating such a plan and determining its perceived likelihood of success. We report on three evaluations of Dramatis, including a comparison of Dramatis output to the suspense reported by human readers, as well as ablative tests of Dramatis components. In these studies, we found that Dramatis output corresponded to the suspense ratings given by human readers for stories in three separate domains."
LASS: A Simple Assignment Model with Laplacian Smoothing,Miguel Carreira-Perpinan and Weiran Wang,Novel Machine Learning Algorithms (NMLA),"semi-supervised learning
convex optimization
ADMM
soft assignment
Laplacian smoothing","HSO: Optimization
NMLA: Semisupervised Learning
RU: Uncertainty in AI (General/Other)","We consider the problem of learning soft assignments of N items to K categories given two sources of information: an item-category similarity matrix, which encourages items to be assigned to categories they are similar to (and to not be assigned to categories they are dissimilar to), and an item-item similarity matrix, which encourages similar items to have similar assignments. We propose a simple quadratic programming model that captures this intuition. We give necessary conditions for its solution to be unique, define an out-of-sample mapping, and derive a simple, effective training algorithm based on the alternating direction method of multipliers. The model predicts reasonable assignments from even a few similarity values, and can be seen as a generalization of semisupervised learning. It is particularly useful when items naturally belong to multiple categories, as for example when annotating documents with keywords or pictures with tags, with partially tagged items, or when the categories have complex interrelations (e.g. hierarchical) that are unknown."
Learning Goal-Oriented Hierarchical Tasks from Situated Interactive Instruction,Shiwali Mohan and John Laird,Cognitive Systems (CS),"task learning
interactive learning
explanation-based learning
situated interactive instruction
learning for robots
learning from dialog
Soar
cognitive architecture","CM: Agent Architectures
CM: Symbolic AI
CS: Social cognition and interaction
CS: Structural learning and knowledge capture","Our research aims at building interactive robots and agent that can expand their knowledge by interacting with human users. In this paper, we focus on learning goal-oriented tasks from situated interactive instructions. Learning novel tasks is a challenging computational problem requiring the agent to acquire a variety of knowledge including goal definitions and hierarchical control information. We frame acquisition of hierarchical tasks as an explanation-based learning (EBL) problem and propose an interactive learning variant of EBL for a robotic agent. We show that our approach can exploit information in situated instructions along with the domain knowledge to demonstrate fast generalization on several tasks.The knowledge acquired transfers across structurally similar tasks. Finally, we show that our approach seamlessly combines agent-driven exploration with instructions for mixed-initiative learning."
Chance-constrained Probabilistic Simple Temporal Problems,"Cheng Fang, Peng Yu and Brian Williams","Planning and Scheduling (PS)
Reasoning under Uncertainty (RU)
Search and Constraint Satisfaction (SCS)","scheduling
probabilistic
STNU","PS: Probabilistic Planning
PS: Scheduling
PS: Temporal Planning
SCS: Constraint Optimization","Robust scheduling is essential to many autonomous systems and logistics tasks. Probabilistic formalisms quantify the risk of schedule failure, which is essential for mission critical applications. Probabilistic methods for solving temporal problems exist that attempt to minimize the probability of schedule failure. These methods are overly conservative, resulting in a loss in schedule utility. Chance constrained formalism address this problem by imposing bounds on risk, while maximizing utility subject to these risk bounds. 

In this paper we present the probabilistic Simple Temporal Network (pSTN), a probabilistic formalism for representing temporal problems with bounded risk and a utility over event timing. We introduce a constrained optimisation algorithm for pSTNs that achieves compactness and efficiency through a problem encoding in terms of a parameterised STNU and its reformulation as a parameterised STN. We demonstrate through a car sharing application that our chance-constrained approach runs in the same time as the previous probabilistic approach, yields solutions with utility improvements of at least 5% over previous arts, while guaranteeing operation within the specified risk bound."
False-Name Bidding and Economic Efficiency in Combinatorial Auctions,Adrian Vetta and Colleen Alkalay-Houlihan,"Game Theory and Economic Paradigms (GTEP)
Multiagent Systems (MAS)
Reasoning under Uncertainty (RU)","- GTEP: Auctions and Market-Based Systems
- GTEP: Equilibrium
- MAS: E-Commerce
- MAS: Mechanism Design","GTEP: Auctions and Market-Based Systems
GTEP: Game Theory
GTEP: Equilibrium
GTEP: Imperfect Information
MAS: E-Commerce
MAS: Evaluation and Analysis (Multiagent Systems)
RU: Decision/Utility Theory","Combinatorial auctions are multiple-item auctions in which bidders may place bids on any package (subset) of goods. This additional expressibility produces benefits that have led to combinatorial auctions becoming extremely important both in practice and in theory. In the computer science community, research has focused primarily on computation and incentive compatibility. The latter concerns a specific form of bidder misrepresentation. However, with modern forms of bid submission, such as electronic bidding, new types of cheating become feasible. For combinatorial auctions, prominent amongst them is false-name bidding; that is, bidding under pseudonyms. The ubiquitous Vickrey-Clarke-Groves (VCG) mechanism is incentive compatible and produces optimal allocations, but it is not false-name-proof; bidders can increase their utility by submitting bids under multiple identifiers. Consequently, there has recently been much interest in the design and analysis of false-name-proof auction mechanisms. 
 
Such false-name-proof mechanisms, however, can produce allocations with very low economic efficiency/social welfare. In contrast, we show that, provided the degree to which different goods are complementary is bounded (as is the case in many important, practical auctions), the VCG mechanism gives a constant efficiency guarantee. Such efficiency guarantees hold even at equilibria where the agents bid in a manner that is not individually rational. Thus, while an individual bidder may 
personally benefit greatly from making false-name bids, this will have only a small detrimental effect on the objective of the auctioneer: maximizing economic efficiency. Thus, from the auctioneer's viewpoint the VCG mechanism remains preferable to false-name-proof mechanisms."
Exploiting Competition Relationship for Robust Visual Recognition,Liang Du and Haibin Ling,"Applications (APP)
Machine Learning Applications (MLA)
Vision (VIS)","Competition relationships
jointly learning
visual recognition","APP: Other Applications
MLA: Applications of Supervised Learning
VIS: Categorization","Joint learning of similar tasks has been a popular trend in visual recognition and proven to be beneficial. The between-task similarity typically provides useful cues, such as feature sharing, for learning visual classifiers. By contrast, the competition relationship between visual recognition tasks (\eg, content independent writer identification and handwriting recognition) remains largely under-explored.
Intuitively, the between-task competition can be used to guide the feature selection process that plays a key role when learning a visual classifier.
Motivated by this intuition, we propose a novel algorithm to exploit competition relationship for improving visual recognition tasks. More specifically, given a target task and its competing tasks, we jointly model them by a generalized additive regression model with  competition constraints. This constraint effectively discourages choosing of irrelevant features (weak learners) that are good for the 
 tasks with competition relationships . The proposed algorithm is named \emph{CompBoost} since it can be viewed extended from the RealAdaboost algorithm. We apply CompBoost to two visual recognition applications: (1) content-independent writer identification from handwriting scripts by exploiting competing tasks of handwriting recognition, and (2) actor-independent facial expression recognition by exploiting competing tasks of face recognition. In both experiments our approach demonstrates promising performance gains by exploiting the between-task competition relationships."
